config,city,task_id,req_type,req_level,p_req,strategy,regime,success,n_selected,p_commit,p_deliv,shortfall,ocr
A_corrected_base,City-A,T3,absolute,1x,200.0,S2_Platform,routine,1.0,1,470.654,599.8799002124084,0.0,0.0
A_corrected_base,City-A,T3,absolute,1x,200.0,S2_Platform,cross_regime,1.0,1,470.654,392.3379390186556,0.0,0.1663983754123929
A_corrected_base,City-A,T3,absolute,1x,200.0,S3_Lin4,routine,1.0,1,724.6866314571901,599.8799002124084,0.0,0.17222165530199166
A_corrected_base,City-A,T3,absolute,1x,200.0,S3_Lin4,cross_regime,1.0,1,724.6866314571901,392.3379390186556,0.0,0.458610215798037
A_corrected_base,City-A,T3,absolute,1x,200.0,S4_GlobalCalib,routine,1.0,1,592.4219481247479,599.8799002124084,0.0,0.0
A_corrected_base,City-A,T3,absolute,1x,200.0,S4_GlobalCalib,cross_regime,1.0,1,592.4219481247479,392.3379390186556,0.0,0.3377390215528613
A_corrected_base,City-A,T3,absolute,1x,200.0,S5_CityCalib,routine,1.0,1,593.7296720694011,599.8799002124084,0.0,0.0
A_corrected_base,City-A,T3,absolute,1x,200.0,S5_CityCalib,cross_regime,1.0,1,593.7296720694011,392.3379390186556,0.0,0.339197689663731
A_corrected_base,City-A,T3,absolute,1x,200.0,S6_Q10,routine,1.0,1,585.9604169387004,599.8799002124084,0.0,0.0
A_corrected_base,City-A,T3,absolute,1x,200.0,S6_Q10,cross_regime,1.0,1,585.9604169387004,392.3379390186556,0.0,0.3304361051069093
A_corrected_base,City-A,T3,absolute,2x,400.0,S0a_RoutineOracle,routine,1.0,1,599.8799002124084,599.8799002124084,0.0,0.0
A_corrected_base,City-A,T3,absolute,2x,400.0,S0a_RoutineOracle,cross_regime,0.0,1,599.8799002124084,392.3379390186556,7.662060981344382,0.34597252070000234
A_corrected_base,City-A,T3,absolute,2x,400.0,S0b_StressOracle,routine,1.0,2,748.0987968003387,1138.1454445420206,0.0,0.0
A_corrected_base,City-A,T3,absolute,2x,400.0,S0b_StressOracle,cross_regime,1.0,2,748.0987968003387,748.0987968003387,0.0,0.0
A_corrected_base,City-A,T3,absolute,2x,400.0,S1_CapRR,routine,1.0,1,596.7921256000001,599.8799002124084,0.0,0.0
A_corrected_base,City-A,T3,absolute,2x,400.0,S1_CapRR,cross_regime,0.0,1,596.7921256000001,392.3379390186556,7.662060981344382,0.3425886130380679
A_corrected_base,City-A,T3,absolute,2x,400.0,S2_Platform,routine,1.0,1,470.654,599.8799002124084,0.0,0.0
A_corrected_base,City-A,T3,absolute,2x,400.0,S2_Platform,cross_regime,0.0,1,470.654,392.3379390186556,7.662060981344382,0.1663983754123929
A_corrected_base,City-A,T3,absolute,2x,400.0,S3_Lin4,routine,1.0,1,724.6866314571901,599.8799002124084,0.0,0.17222165530199166
A_corrected_base,City-A,T3,absolute,2x,400.0,S3_Lin4,cross_regime,0.0,1,724.6866314571901,392.3379390186556,7.662060981344382,0.458610215798037
A_corrected_base,City-A,T3,absolute,2x,400.0,S4_GlobalCalib,routine,1.0,1,592.4219481247479,599.8799002124084,0.0,0.0
A_corrected_base,City-A,T3,absolute,2x,400.0,S4_GlobalCalib,cross_regime,0.0,1,592.4219481247479,392.3379390186556,7.662060981344382,0.3377390215528613
A_corrected_base,City-A,T3,absolute,2x,400.0,S5_CityCalib,routine,1.0,1,593.7296720694011,599.8799002124084,0.0,0.0
A_corrected_base,City-A,T3,absolute,2x,400.0,S5_CityCalib,cross_regime,0.0,1,593.7296720694011,392.3379390186556,7.662060981344382,0.339197689663731
A_corrected_base,City-A,T3,absolute,2x,400.0,S6_Q10,routine,1.0,1,585.9604169387004,599.8799002124084,0.0,0.0
A_corrected_base,City-A,T3,absolute,2x,400.0,S6_Q10,cross_regime,0.0,1,585.9604169387004,392.3379390186556,7.662060981344382,0.3304361051069093
A_corrected_base,City-A,T3,absolute,5x,1000.0,S0a_RoutineOracle,routine,1.0,2,1138.1454445420206,1138.1454445420206,0.0,0.0
A_corrected_base,City-A,T3,absolute,5x,1000.0,S0a_RoutineOracle,cross_regime,0.0,2,1138.1454445420206,748.0987968003387,251.90120319966127,0.342703693637884
A_corrected_base,City-A,T3,absolute,5x,1000.0,S0b_StressOracle,routine,1.0,3,1092.7081756789057,1663.7841278206772,0.0,0.0
A_corrected_base,City-A,T3,absolute,5x,1000.0,S0b_StressOracle,cross_regime,1.0,3,1092.7081756789057,1092.7081756789057,0.0,0.0
A_corrected_base,City-A,T3,absolute,5x,1000.0,S1_CapRR,routine,1.0,2,1138.1160166,1138.1454445420206,0.0,0.0
A_corrected_base,City-A,T3,absolute,5x,1000.0,S1_CapRR,cross_regime,0.0,2,1138.1160166,748.0987968003387,251.90120319966127,0.3426866981143065
A_corrected_base,City-A,T3,absolute,5x,1000.0,S2_Platform,routine,1.0,3,1264.78,1625.7311558976999,0.0,0.0
A_corrected_base,City-A,T3,absolute,5x,1000.0,S2_Platform,cross_regime,1.0,3,1264.78,1063.9706029119254,0.0,0.15877021860566623
A_corrected_base,City-A,T3,absolute,5x,1000.0,S3_Lin4,routine,1.0,2,1285.1891392524917,1125.5185834910649,0.0,0.12423895509597636
A_corrected_base,City-A,T3,absolute,5x,1000.0,S3_Lin4,cross_regime,0.0,2,1285.1891392524917,736.9473178972225,263.05268210277745,0.4265845427811074
A_corrected_base,City-A,T3,absolute,5x,1000.0,S4_GlobalCalib,routine,1.0,2,1129.820261391801,1138.1454445420206,0.0,0.0
A_corrected_base,City-A,T3,absolute,5x,1000.0,S4_GlobalCalib,cross_regime,0.0,2,1129.820261391801,748.0987968003387,251.90120319966127,0.3378603461414543
A_corrected_base,City-A,T3,absolute,5x,1000.0,S5_CityCalib,routine,1.0,2,1132.306612846006,1138.1454445420206,0.0,0.0
A_corrected_base,City-A,T3,absolute,5x,1000.0,S5_CityCalib,cross_regime,0.0,2,1132.306612846006,748.0987968003387,251.90120319966127,0.33931429145324576
A_corrected_base,City-A,T3,absolute,5x,1000.0,S6_Q10,routine,1.0,2,1117.459341376318,1138.1454445420206,0.0,0.0
A_corrected_base,City-A,T3,absolute,5x,1000.0,S6_Q10,cross_regime,0.0,2,1117.459341376318,748.0987968003387,251.90120319966127,0.33053600332434163
A_corrected_base,City-A,T3,absolute,10x,2000.0,S0a_RoutineOracle,routine,1.0,4,2178.9166832347996,2178.9166832347996,0.0,0.0
A_corrected_base,City-A,T3,absolute,10x,2000.0,S0a_RoutineOracle,cross_regime,0.0,4,2178.9166832347996,1429.7999184734033,570.2000815265967,0.34380239066748736
A_corrected_base,City-A,T3,absolute,10x,2000.0,S0b_StressOracle,routine,1.0,6,2062.3435506937512,3146.6170801683356,0.0,0.0
A_corrected_base,City-A,T3,absolute,10x,2000.0,S0b_StressOracle,cross_regime,1.0,6,2062.3435506937512,2062.3435506937512,0.0,0.0
A_corrected_base,City-A,T3,absolute,10x,2000.0,S1_CapRR,routine,1.0,4,2175.3372921,2178.9166832347996,0.0,0.0
A_corrected_base,City-A,T3,absolute,10x,2000.0,S1_CapRR,cross_regime,0.0,4,2175.3372921,1429.7999184734033,570.2000815265967,0.3427226556240753
A_corrected_base,City-A,T3,absolute,10x,2000.0,S2_Platform,routine,1.0,6,2357.866,3105.2315456245556,0.0,0.0
A_corrected_base,City-A,T3,absolute,10x,2000.0,S2_Platform,cross_regime,1.0,6,2357.866,2034.5259657100337,0.0,0.13713248941626296
A_corrected_base,City-A,T3,absolute,10x,2000.0,S3_Lin4,routine,1.0,4,2358.240983279134,2131.271952347578,0.0,0.09624505406396408
