city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success
City-A,T3,1x,200.0,S0b_StressOracle,routine,M_routine,800,True,1,256.1,325.1,0.0,0.0,1.0
City-A,T3,1x,200.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,256.1,256.1,0.0,0.0,1.0
City-A,T3,1x,200.0,S1_CapRR,routine,M_routine,800,True,1,596.8,159.1,40.9,0.7334,0.0
City-A,T3,1x,200.0,S1_CapRR,cross_regime,M_stress,800,True,1,596.8,91.4,108.6,0.8468,0.0
City-A,T3,1x,200.0,S2_Platform,routine,M_routine,800,True,1,470.7,159.1,40.9,0.6619,0.0
City-A,T3,1x,200.0,S2_Platform,cross_regime,M_stress,800,True,1,470.7,91.4,108.6,0.8057,0.0
City-A,T3,1x,200.0,S3_Lin4,routine,M_routine,800,True,1,286.0,159.1,40.9,0.4436,0.0
City-A,T3,1x,200.0,S3_Lin4,cross_regime,M_stress,800,True,1,286.0,91.4,108.6,0.6803,0.0
City-A,T3,1x,200.0,S4_GlobalCalib,routine,M_routine,800,True,1,349.1,159.1,40.9,0.5442,0.0
City-A,T3,1x,200.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,349.1,91.4,108.6,0.7381,0.0
City-A,T3,1x,200.0,S5_CityCalib,routine,M_routine,800,True,1,330.6,159.1,40.9,0.5187,0.0
City-A,T3,1x,200.0,S5_CityCalib,cross_regime,M_stress,800,True,1,330.6,91.4,108.6,0.7235,0.0
City-A,T3,1x,200.0,S6_Q10,routine,M_routine,800,True,2,274.3,468.6,0.0,0.0,1.0
City-A,T3,1x,200.0,S6_Q10,cross_regime,M_stress,800,True,2,274.3,326.5,0.0,0.0,1.0
City-A,T3,2x,400.0,S0a_RoutineOracle,routine,M_routine,800,True,2,634.6,634.6,0.0,0.0,1.0
City-A,T3,2x,400.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,2,634.6,491.2,0.0,0.226,1.0
City-A,T3,2x,400.0,S0b_StressOracle,routine,M_routine,800,True,2,495.5,627.2,0.0,0.0,1.0
City-A,T3,2x,400.0,S0b_StressOracle,cross_regime,M_stress,800,True,2,495.5,495.5,0.0,0.0,1.0
City-A,T3,2x,400.0,S1_CapRR,routine,M_routine,800,True,1,596.8,159.1,240.9,0.7334,0.0
City-A,T3,2x,400.0,S1_CapRR,cross_regime,M_stress,800,True,1,596.8,91.4,308.6,0.8468,0.0
City-A,T3,2x,400.0,S2_Platform,routine,M_routine,800,True,1,470.7,159.1,240.9,0.6619,0.0
City-A,T3,2x,400.0,S2_Platform,cross_regime,M_stress,800,True,1,470.7,91.4,308.6,0.8057,0.0
City-A,T3,2x,400.0,S3_Lin4,routine,M_routine,800,True,2,509.1,484.2,0.0,0.0488,1.0
City-A,T3,2x,400.0,S3_Lin4,cross_regime,M_stress,800,True,2,509.1,347.5,52.5,0.3173,0.0
City-A,T3,2x,400.0,S4_GlobalCalib,routine,M_routine,800,True,2,659.8,468.6,0.0,0.2899,1.0
City-A,T3,2x,400.0,S4_GlobalCalib,cross_regime,M_stress,800,True,2,659.8,326.5,73.5,0.5052,0.0
City-A,T3,2x,400.0,S5_CityCalib,routine,M_routine,800,True,2,625.4,468.6,0.0,0.2508,1.0
City-A,T3,2x,400.0,S5_CityCalib,cross_regime,M_stress,800,True,2,625.4,326.5,73.5,0.478,0.0
City-A,T3,2x,400.0,S6_Q10,routine,M_routine,800,True,4,504.2,1095.7,0.0,0.0,1.0
City-A,T3,2x,400.0,S6_Q10,cross_regime,M_stress,800,True,4,504.2,822.0,0.0,0.0,1.0
