stress_config,s_new,K_active,severity,scope,city,task_id,p_req_level,strategy,success,n_selected,p_commit,p_deliv,shortfall,ocr,seed_id
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T4,5x,S6_Q10,1.0,2,772.8743624692863,796.0098658018496,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T5,5x,S0a_RoutineOracle,0.0,2,1149.8828385916308,492.6862722784241,307.3137277215759,0.5715335025941747,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T5,5x,S0b_StressOracle_new,1.0,2,801.6405039529197,801.6405039529197,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T5,5x,S1_CapRR,0.0,2,1485.4080295999997,739.0848586719721,60.91514132802786,0.5024364727104662,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T5,5x,S4_GlobalCalib,0.0,2,983.9514484925735,739.0848586719721,60.91514132802786,0.24886043940048075,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-B,T5,5x,S6_Q10,1.0,3,1003.3148079980749,1091.098140965507,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T1,5x,S0a_RoutineOracle,0.0,2,1047.1239940153869,726.8136034952877,173.18639650471232,0.3058953785327857,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T1,5x,S0b_StressOracle_new,1.0,3,1112.3379704771883,1112.3379704771883,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T1,5x,S1_CapRR,0.0,2,1439.5386200000003,749.4522222659566,150.5477777340434,0.47938025985995675,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T1,5x,S4_GlobalCalib,0.0,2,955.1063155536654,749.4522222659566,150.5477777340434,0.21532062969188218,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T1,5x,S6_Q10,1.0,3,945.9809574790236,1112.3379704771883,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T2,5x,S0a_RoutineOracle,0.0,3,1747.2699258400075,960.0420116719172,339.9579883280828,0.4505473954115173,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T2,5x,S0b_StressOracle_new,1.0,4,1315.683392828183,1315.683392828183,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T2,5x,S1_CapRR,0.0,2,1439.5386200000003,637.1879890299247,662.8120109700753,0.5573665199548974,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T2,5x,S4_GlobalCalib,0.0,3,1391.024256177358,960.0420116719171,339.95798832808293,0.3098308621086259,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T2,5x,S6_Q10,1.0,5,1486.1270434678243,1370.7634065935642,0.0,0.07762703557635496,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T3,5x,S0a_RoutineOracle,0.0,3,1312.674407506343,482.41112005460025,517.5888799453998,0.6324975048679242,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T3,5x,S0b_StressOracle_new,1.0,4,1210.2743647020059,1210.2743647020059,0.0,0.0,0
