seed_id,city,task_id,strategy,req_level,k,topk_overlap,capacity_regret,cap_strat,cap_oracle
1,City-C,T5,S1_CapRR,5x,2,0.5,0.047631522179371055,836.4226550374997,878.2552914304176
1,City-C,T5,S1_CapRR,10x,3,0.3333333333333333,0.09895709598269342,1156.2769426353516,1283.2651336357926
1,City-C,T5,S4_GlobalCalib,1x,1,1.0,0.0,453.9683596320425,453.9683596320425
1,City-C,T5,S4_GlobalCalib,2x,1,1.0,0.0,453.9683596320425,453.9683596320425
1,City-C,T5,S4_GlobalCalib,5x,2,0.5,0.047631522179371055,836.4226550374997,878.2552914304176
1,City-C,T5,S4_GlobalCalib,10x,5,0.4,0.05330637011380013,1952.9849654824975,2062.953529873505
2,City-A,T1,S1_CapRR,1x,1,0.0,0.09842801759284991,431.8664030894454,479.0148890123944
2,City-A,T1,S1_CapRR,2x,1,0.0,0.09842801759284991,431.8664030894454,479.0148890123944
2,City-A,T1,S1_CapRR,5x,2,0.0,0.08033205379443986,880.4316393228073,957.3364418705282
2,City-A,T1,S1_CapRR,10x,3,0.0,0.059722927180959506,1332.9194327861617,1417.5815526267613
2,City-A,T1,S4_GlobalCalib,1x,1,0.0,0.09842801759284991,431.8664030894454,479.0148890123944
2,City-A,T1,S4_GlobalCalib,2x,1,0.0,0.09842801759284991,431.8664030894454,479.0148890123944
2,City-A,T1,S4_GlobalCalib,5x,3,0.0,0.059722927180959506,1332.9194327861617,1417.5815526267613
2,City-A,T1,S4_GlobalCalib,10x,5,0.4,0.14183531112920966,1993.2152493316187,2322.6488751877873
2,City-A,T2,S1_CapRR,1x,1,0.0,0.03877654173042433,446.6369179404776,464.6546170903145
2,City-A,T2,S1_CapRR,2x,1,0.0,0.03877654173042433,446.6369179404776,464.6546170903145
2,City-A,T2,S1_CapRR,5x,3,0.6666666666666666,0.06705158448259241,1268.0137831792358,1359.1467246085658
2,City-A,T2,S1_CapRR,10x,5,0.6,0.016060276478786606,2114.8917985419084,2149.411948704917
2,City-A,T2,S4_GlobalCalib,1x,1,0.0,0.03877654173042433,446.6369179404776,464.6546170903145
2,City-A,T2,S4_GlobalCalib,2x,2,0.5,0.019745211523398587,894.4921075182513,912.5098066680882
2,City-A,T2,S4_GlobalCalib,5x,4,0.75,0.01905109046443121,1732.6684002695504,1766.3186975658946
2,City-A,T2,S4_GlobalCalib,10x,7,0.8571428571428571,0.012589929542968115,2868.5813004119846,2905.157022638259
2,City-A,T3,S1_CapRR,1x,1,1.0,0.0,518.0077800271017,518.0077800271017
2,City-A,T3,S1_CapRR,2x,1,1.0,0.0,518.0077800271017,518.0077800271017
2,City-A,T3,S1_CapRR,5x,2,0.5,0.0015305622299631727,893.3801471638978,894.7496171331559
2,City-A,T3,S1_CapRR,10x,4,0.5,0.14048769506542358,1411.506534195275,1642.217948587385
2,City-A,T3,S4_GlobalCalib,1x,1,1.0,0.0,518.0077800271017,518.0077800271017
2,City-A,T3,S4_GlobalCalib,2x,2,0.5,0.0015305622299631727,893.3801471638978,894.7496171331559
